,Sample,Age,Sex,Tissue
873,E-GEOD-36194_GSM884382,40.0,female,cerebellum
876,E-GEOD-36194_GSM884543,83.0,female,cerebellum
877,E-GEOD-36194_GSM884563,82.0,male,cerebellum
878,E-GEOD-36194_GSM884553,88.0,female,cerebellum
879,E-GEOD-36194_GSM884562,78.0,male,cerebellum
880,E-GEOD-36194_GSM884500,22.0,male,cerebellum
882,E-GEOD-36194_GSM884385,38.0,female,cerebellum
883,E-GEOD-36194_GSM884443,5.0,male,cerebellum
884,E-GEOD-36194_GSM884429,15.0,male,cerebellum
886,E-GEOD-36194_GSM884534,75.0,female,cerebellum
887,E-GEOD-36194_GSM884547,73.0,male,cerebellum
888,E-GEOD-36194_GSM884528,82.0,male,cerebellum
889,E-GEOD-36194_GSM884416,38.0,male,cerebellum
891,E-GEOD-36194_GSM884447,56.0,male,cerebellum
892,E-GEOD-36194_GSM884460,48.0,male,cerebellum
894,E-GEOD-36194_GSM884444,17.0,male,cerebellum
896,E-GEOD-36194_GSM884499,37.0,male,cerebellum
897,E-GEOD-36194_GSM884380,32.0,male,cerebellum
898,E-GEOD-36194_GSM884406,38.0,male,cerebellum
899,E-GEOD-36194_GSM884390,17.0,male,cerebellum
900,E-GEOD-36194_GSM884476,36.0,male,cerebellum
902,E-GEOD-36194_GSM884454,52.0,male,cerebellum
903,E-GEOD-36194_GSM884535,84.0,male,cerebellum
907,E-GEOD-36194_GSM884391,77.0,female,cerebellum
909,E-GEOD-36194_GSM884478,1.0,male,cerebellum
910,E-GEOD-36194_GSM884545,80.0,male,cerebellum
911,E-GEOD-36194_GSM884479,27.0,male,cerebellum
912,E-GEOD-36194_GSM884423,50.0,female,cerebellum
913,E-GEOD-36194_GSM884439,78.0,male,cerebellum
914,E-GEOD-36194_GSM884473,35.0,male,cerebellum
917,E-GEOD-36194_GSM884428,15.0,female,cerebellum
919,E-GEOD-36194_GSM884393,17.0,female,cerebellum
920,E-GEOD-36194_GSM884561,85.0,male,cerebellum
922,E-GEOD-36194_GSM884517,52.0,male,cerebellum
923,E-GEOD-36194_GSM884546,82.0,female,cerebellum
924,E-GEOD-36194_GSM884480,47.0,male,cerebellum
926,E-GEOD-36194_GSM884463,87.0,female,cerebellum
927,E-GEOD-36194_GSM884502,36.0,male,cerebellum
932,E-GEOD-36194_GSM884468,19.0,male,cerebellum
933,E-GEOD-36194_GSM884510,1.0,male,cerebellum
936,E-GEOD-36194_GSM884483,33.0,female,cerebellum
937,E-GEOD-36194_GSM884434,55.0,male,cerebellum
938,E-GEOD-36194_GSM884404,86.0,female,cerebellum
939,E-GEOD-36194_GSM884410,16.0,female,cerebellum
940,E-GEOD-36194_GSM884514,90.0,male,cerebellum
944,E-GEOD-36194_GSM884533,76.0,female,cerebellum
945,E-GEOD-36194_GSM884556,86.0,male,cerebellum
946,E-GEOD-36194_GSM884436,22.0,male,cerebellum
947,E-GEOD-36194_GSM884433,16.0,male,cerebellum
949,E-GEOD-36194_GSM884455,18.0,female,cerebellum
950,E-GEOD-36194_GSM884516,38.0,male,cerebellum
952,E-GEOD-36194_GSM884440,91.0,male,cerebellum
954,E-GEOD-36194_GSM884512,91.0,female,cerebellum
